paper_id,author_id,position
782,678283,0
872,644976,1
872,107969,2
977,16959,1
1014,500399,1
1022,302398,0
1065,1182131,1
1105,678283,1
1322,215021,1
1325,897910,1
1325,1621075,2
1330,490643,1
1334,1107096,0
1388,186940,0
1390,1544549,1
1746,263382,0
1746,567362,2
1748,552164,0
1748,93746,2
1748,359159,3
1752,13839,0
1837,1669068,1
1843,1371000,0
1843,175975,1
1920,39674,1
2148,145864,0
2148,511704,1
2841,322122,1
3042,1241391,0
3042,133584,1
3045,1424905,0
3045,392529,2
3050,1240991,1
3220,135075,0
3220,8643,1
3222,83046,1
3228,1167519,0
3247,64693,1
3417,1540972,1
3444,1167519,0
3444,511704,1
3529,16035,0
3531,61248,0
3531,1446721,1
3558,320290,1
3563,1549049,0
3563,578254,1
3569,1241391,0
3569,419063,1
3591,584707,0
3641,115070,0
3826,439983,1
3869,704006,2
3869,546242,3
3874,320290,0
3874,374958,1
3901,758686,0
3904,160394,0
3904,1607540,1
3927,72502,0
3927,830385,1
3927,772699,2
3934,961703,0
3934,264403,1
3949,180383,0
3949,1687541,1
4017,645681,0
4260,647744,2
4619,348069,0
4852,175877,2
4857,386699,0
4857,947252,1
5169,1657088,2
5171,254397,1
5179,145079,1
5193,1301891,0
5193,946421,1
5193,311329,2
5193,830874,3
5193,1595277,4
6802,627026,0
6802,69859,1
9198,754351,0
9198,667828,1
9200,100376,0
9200,122360,2
9251,393793,0
9254,223485,1
9500,23518,0
9515,1091115,0
9515,651987,1
9527,1091115,0
9527,651987,1
9925,896887,2
13046,589438,0
13048,75399,0
13485,174255,1
13497,359343,0
13497,328455,1
13513,456141,0
13515,911967,1
13521,288096,2
13521,1125,3
13529,825498,1
14232,173650,1
14232,435233,3
14233,861086,0
14233,264957,2
14235,340367,0
14235,587648,1
14242,340367,0
14242,587648,1
14242,367531,3
14904,1040470,0
14904,23345,1
15434,1040470,0
15434,23345,1
17877,124866,0
18059,603408,2
18063,593497,0
18400,190555,2
18566,627529,0
18570,987048,0
18656,17072,2
19448,1446721,1
19450,1260900,0
19459,439983,1
19459,58442,2
19460,555935,0
19460,1662916,1
19461,1549049,0
19461,578254,1
19646,130834,2
19794,534818,1
